proto,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,category
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
,,,,,,,,,,,class
udp,17745.0,0.645897,79.0,2.754307,4.0,3.667297,100.0,0.0,0.7288819999999999,4.148525,DDoS
udp,226390.0,1.899844,41.0,0.0,4.0,2.686784,100.0,0.0,0.494924,4.03085,DDoS
tcp,246232.0,0.0,91.0,0.268723,1.0,0.268723,100.0,0.0,3.721304,0.268723,DDoS
tcp,129789.0,0.156843,100.0,0.0,1.0,0.156747,100.0,0.059789,0.118974,0.321275,DDoS
udp,234688.0,1.93562,100.0,0.0,4.0,2.736877,100.0,0.0,0.484661,4.150785,DDoS
tcp,221834.0,1.991554,86.0,0.0,3.0,1.991554,100.0,0.0,0.13958800000000002,3.983107,DDoS
tcp,148179.0,1.827323,92.0,0.18523,1.0,2.705823,100.0,0.0,0.334563,4.459701,DDoS
udp,125810.0,0.729893,42.0,2.570896,4.0,3.602933,100.0,0.0,0.665517,4.1359330000000005,DDoS
tcp,6498.0,1.030919,100.0,0.320274,1.0,1.351192,100.0,0.0,0.207475,2.382111,DDoS
udp,257340.0,1.9003,88.0,0.0,4.0,2.6874290000000003,100.0,0.0,0.494566,4.032987,DDoS
udp,145305.0,0.790177,25.0,2.754428,4.0,3.838877,100.0,0.0,0.630502,4.614656,DDoS
udp,221020.0,1.923082,100.0,0.0,4.0,2.719604,100.0,0.0,0.408992,4.092795,DDoS
tcp,169502.0,0.037256,48.0,3.041525,1.0,3.070164,100.0,0.0,0.402918,3.122793,DDoS
udp,148499.0,1.992725,89.0,0.0,4.0,2.811975,100.0,0.0,0.399325,4.379294,DDoS
tcp,187177.0,0.1211,93.0,0.0,1.0,0.06055,100.0,0.0,0.12653699999999998,0.30275100000000005,DDoS
tcp,33256.0,0.102166,100.0,0.0,1.0,0.058986,100.0,0.0,0.094816,0.235942,DDoS
tcp,225511.0,1.913422,100.0,0.156471,1.0,2.069893,100.0,0.0,0.209586,3.983315,DDoS
tcp,128062.0,1.916351,100.0,0.0,3.0,2.662138,100.0,0.0,0.27034899999999995,4.432944,DDoS
udp,112039.0,0.986028,64.0,2.005832,4.0,3.399829,100.0,0.0,0.489505,4.127714,DDoS
udp,123136.0,1.954153,100.0,0.0,4.0,2.76348,100.0,0.0,0.484455,4.166467,DDoS
tcp,59178.0,1.1336959999999998,84.0,0.269136,1.0,1.402832,100.0,0.0,0.08694,2.536528,DDoS
tcp,78365.0,0.123052,100.0,0.0,3.0,0.07104400000000001,100.0,0.0,0.091225,0.284177,DDoS
udp,100743.0,0.998442,100.0,2.026441,4.0,3.43824,100.0,0.0,0.485834,4.165306,DDoS
tcp,14397.0,0.103594,57.0,3.163851,1.0,3.253402,100.0,0.0,0.387701,3.398596,DDoS
udp,134882.0,0.7393649999999999,100.0,2.554669,4.0,3.600013,100.0,0.0,0.739957,4.143475,DDoS
tcp,173173.0,0.123882,46.0,0.0,3.0,0.071523,100.0,0.0,0.118205,0.286093,DDoS
tcp,33388.0,0.100479,100.0,0.0,1.0,0.100479,100.0,0.0,0.206033,0.200958,DDoS
udp,192337.0,1.228473,52.0,1.37014,4.0,3.095655,100.0,0.0,0.663513,4.133532,DDoS
tcp,155130.0,1.889808,71.0,0.0,3.0,2.669062,100.0,0.0,0.25355700000000003,4.122529,DDoS
tcp,202659.0,0.463666,60.0,3.268919,1.0,3.649612,100.0,0.0,0.343794,4.302326,DDoS
udp,158008.0,0.115802,51.0,4.043899,4.0,4.159692,100.0,0.0,0.32326,4.275485,DDoS
tcp,16937.0,1.697995,100.0,0.0,3.0,2.401231,100.0,0.0,0.282534,3.620546,DDoS
udp,171907.0,1.373069,18.0,1.965156,4.0,3.906967,100.0,0.0,1.025243,4.879999,DDoS
udp,9134.0,0.970422,46.0,2.01065,4.0,3.383026,100.0,0.0,0.493033,4.073053,DDoS
tcp,226769.0,0.06867999999999999,72.0,3.337827,3.0,3.406501,100.0,0.0,0.205618,3.475175,DDoS
udp,2589.0,0.642522,100.0,2.783084,4.0,3.691663,100.0,0.0,0.723524,4.156630000000002,DDoS
udp,29233.0,0.975545,91.0,2.002727,4.0,3.3823410000000003,100.0,0.0,0.493272,4.077433,DDoS
tcp,178999.0,1.889815,100.0,0.0,3.0,2.6051900000000003,100.0,0.0,0.272569,4.4243510000000015,DDoS
udp,165372.0,1.899466,100.0,0.0,4.0,2.68625,100.0,0.0,0.494524,4.029788,DDoS
udp,198810.0,1.204369,84.0,1.367987,4.0,3.045865,100.0,0.0,0.672018,4.138382,DDoS
tcp,124374.0,0.0552,50.0,3.514835,3.0,3.570035,100.0,0.0,0.282914,3.625235,DDoS
tcp,54055.0,1.2489370000000002,98.0,0.0,3.0,1.2489370000000002,100.0,0.0,0.058902,2.497873,DDoS
tcp,25517.0,0.035195,100.0,0.0,1.0,0.035195,100.0,0.0,0.210974,0.070389,DDoS
udp,220227.0,1.923366,80.0,0.0,4.0,2.720002,100.0,0.0,0.490799,4.093963,DDoS
udp,155269.0,0.635175,100.0,2.755986,4.0,3.654258,100.0,0.0,0.729553,4.104843,DDoS
udp,232438.0,1.280429,45.0,1.389351,4.0,3.200132,100.0,0.0,0.729196,4.11268,DDoS
udp,28459.0,0.6439729999999999,69.0,2.757494,4.0,3.66772,100.0,0.0,0.728973,4.148752,DDoS
udp,180670.0,0.63867,100.0,2.752323,4.0,3.655532,100.0,0.0,0.729482,4.109867,DDoS
tcp,97046.0,2.197083,51.0,0.188646,1.0,2.385728,100.0,0.0,0.207564,4.582811,DDoS
tcp,234386.0,0.0,85.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,195375.0,1.912536,100.0,0.0,4.0,2.70473,100.0,0.0,0.49337,4.061193,DDoS
tcp,224972.0,1.999627,100.0,0.0,3.0,1.999627,100.0,0.0,0.139733,3.999255,DDoS
tcp,168056.0,1.813385,100.0,0.0,1.0,2.560966,100.0,0.0,0.348234,3.958233,DDoS
udp,57262.0,0.978652,92.0,1.990674,4.0,3.374696,100.0,0.0,0.493846,4.06762,DDoS
udp,30222.0,0.8516469999999999,51.0,2.88404,4.0,3.960077,100.0,0.0,1.011672,4.966668,DDoS
tcp,204815.0,0.102457,58.0,3.63996,1.0,3.742421,100.0,0.0,0.351936,3.844882,DDoS
tcp,25784.0,0.032859,96.0,0.0,1.0,0.032859,100.0,0.0,0.202047,0.065718,DDoS
udp,39010.0,0.825945,100.0,2.97608,4.0,3.984893,100.0,0.0,1.002735,4.999198000000002,DDoS
tcp,143410.0,1.7547259999999998,31.0,0.0,1.0,2.477185,100.0,0.0,0.362367,3.843301,DDoS
tcp,23849.0,2.2235560000000003,100.0,0.0,3.0,2.2235560000000003,100.0,0.0,0.136009,4.4471120000000015,DDoS
tcp,89124.0,0.130546,26.0,3.793843,1.0,3.972465,100.0,0.0,0.31440300000000004,4.102188,DDoS
udp,247548.0,0.16831400000000002,100.0,4.0354230000000015,4.0,4.203736,100.0,0.0,0.480132,4.37205,DDoS
tcp,101391.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.07518,0.0,DDoS
udp,173014.0,1.899372,65.0,0.0,4.0,2.685956,100.0,0.0,0.4118,4.054397,DDoS
tcp,107246.0,0.094929,100.0,0.0,1.0,0.094929,100.0,0.0,0.19845,0.189857,DDoS
udp,161178.0,1.958204,77.0,0.0,4.0,2.766917,100.0,0.0,0.403466,4.2502330000000015,DDoS
udp,256167.0,0.051503,63.0,4.059492,4.0,4.110976,100.0,0.0,0.487414,4.162461,DDoS
tcp,32429.0,0.07647899999999999,100.0,3.595688,3.0,3.672167,100.0,0.0,0.269458,3.748646,DDoS
udp,47643.0,1.370433,100.0,1.965204,4.0,3.903274,100.0,0.0,1.02455,4.879225,DDoS
tcp,34733.0,0.0,66.0,0.0,3.0,0.0,100.0,0.0,0.105358,0.0,DDoS
udp,213249.0,1.279899,58.0,1.392577,4.0,3.202613,100.0,0.0,0.728916,4.113826,DDoS
udp,150766.0,1.984678,37.0,0.0,4.0,2.801787,100.0,0.0,0.401777,4.34729,DDoS
tcp,152674.0,1.900508,81.0,0.0,3.0,2.635826,100.0,0.0,0.271464,4.408943,DDoS
udp,14882.0,0.457133,100.0,3.992492,4.0,4.338898,100.0,0.0,0.838519,4.984819,DDoS
tcp,22370.0,1.169276,100.0,0.0,3.0,0.8268030000000001,100.0,0.0,0.078654,2.48041,DDoS
udp,15622.0,0.950335,8.0,2.039066,4.0,3.3830410000000004,100.0,0.0,0.493037,4.05626,DDoS
tcp,53285.0,1.262732,94.0,0.0,3.0,1.262732,100.0,0.0,0.050338,2.525464,DDoS
udp,41683.0,0.868957,45.0,2.839512,4.0,3.940087,100.0,0.0,1.016112,4.963851999999998,DDoS
udp,123683.0,2.053992,54.0,0.0,4.0,2.887392,100.0,0.0,0.39239,4.6059470000000005,DDoS
tcp,18586.0,1.894881,71.0,0.0,3.0,2.679765,100.0,0.0,0.249385,4.022081,DDoS
tcp,108269.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.098993,0.0,DDoS
tcp,42636.0,0.303546,100.0,2.924454,3.0,3.3468120000000003,100.0,0.0,0.295462,3.624479,DDoS
udp,52811.0,0.892282,92.0,2.786514,4.0,3.923917,100.0,0.0,0.946864,4.965889,DDoS
udp,20248.0,0.911955,100.0,2.938781,4.0,4.228399,100.0,0.0,1.024333,4.8857050000000015,DDoS
udp,110152.0,2.089329,100.0,0.0,4.0,2.929471,100.0,0.0,0.388825,4.7282660000000005,DDoS
tcp,91643.0,0.119418,62.0,0.0,1.0,0.06894600000000001,100.0,0.0,0.102924,0.275785,DDoS
tcp,71891.0,1.7639939999999998,100.0,0.0,3.0,1.247332,100.0,0.0,0.084375,3.741997,DDoS
udp,65665.0,0.951511,87.0,2.036725,4.0,3.382353,100.0,0.0,0.493196,4.060137,DDoS
udp,123858.0,0.925657,62.0,3.001504,4.0,3.658314,100.0,0.0,0.7864939999999999,4.967388,DDoS
udp,71537.0,1.229572,100.0,2.356799,4.0,4.095429,100.0,0.0,0.97904,4.990097,DDoS
udp,102096.0,2.106673,51.0,0.0,4.0,2.949586,100.0,0.0,0.387025,4.787781,DDoS
tcp,116942.0,1.362769,100.0,0.16885799999999998,1.0,2.095106,100.0,0.16363699999999998,0.481835,3.111948,DDoS
tcp,1695.0,1.520183,35.0,0.0,1.0,2.624693,100.0,0.0,0.351817,3.669766000000001,DDoS
udp,30473.0,0.624767,57.0,2.798243,4.0,3.68129,100.0,0.0,0.726827,4.14874,DDoS
udp,248826.0,1.937222,97.0,0.0,4.0,2.739043,100.0,0.0,0.48458,4.158339,DDoS
tcp,211188.0,0.0,78.0,0.288037,1.0,0.288037,100.0,0.0,3.471776,0.288037,DDoS
udp,82614.0,1.366162,50.0,1.973132,4.0,3.905176,100.0,0.0,1.024877,4.8723519999999985,DDoS
udp,245258.0,1.938918,100.0,0.0,4.0,2.741479,100.0,0.0,0.484599,4.160462,DDoS
tcp,89389.0,0.055484000000000006,100.0,3.627066000000001,3.0,3.682549,100.0,0.0,0.27184400000000003,3.738033,DDoS
tcp,58037.0,2.210557,100.0,0.0,3.0,2.210557,100.0,0.0,0.136128,4.421114,DDoS
udp,203248.0,1.751505,91.0,0.0,4.0,2.4340740000000003,100.0,0.0,0.440395,4.048753,DDoS
tcp,115591.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
tcp,73993.0,1.565305,100.0,0.0,3.0,2.2034290000000003,100.0,0.0,0.306627,3.48938,DDoS
tcp,56339.0,0.0,97.0,0.0,3.0,0.0,100.0,0.0,0.09472,0.0,DDoS
udp,148681.0,1.414895,49.0,1.379924,4.0,3.365868,100.0,0.0,0.6223069999999999,4.570767,DDoS
tcp,75681.0,0.092108,61.0,0.0,3.0,0.046054000000000005,100.0,0.0,0.12923900000000002,0.230269,DDoS
udp,250004.0,1.937076,100.0,0.0,4.0,2.738839,100.0,0.0,0.484582,4.15793,DDoS
udp,152144.0,0.643521,94.0,2.777336,4.0,3.68666,100.0,0.0,0.7247560000000001,4.173337,DDoS
udp,58925.0,1.371084,100.0,1.967513,4.0,3.906518,100.0,0.0,1.024609,4.876794,DDoS
udp,158768.0,1.880603,100.0,0.981217,4.0,3.640778,100.0,0.0,1.006046,4.977711,DDoS
tcp,150529.0,0.0,92.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,116170.0,0.974156,44.0,2.025205,4.0,3.402656,100.0,0.0,0.4910640000000001,4.1123970000000005,DDoS
udp,245504.0,0.188014,85.0,4.027688,4.0,4.2157019999999985,100.0,0.0,0.4784020000000001,4.403716,DDoS
tcp,197285.0,2.030354,100.0,0.0,3.0,2.030354,100.0,0.0,0.138574,4.060708999999999,DDoS
tcp,54996.0,1.740674,38.0,0.0,1.0,2.451478,100.0,0.0,0.350826,3.871154,DDoS
udp,241828.0,1.93835,100.0,0.0,4.0,2.740697,100.0,0.0,0.4846180000000001,4.158345,DDoS
