proto,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,category
udp,58710.0,1.933747,100.0,0.0,4.0,2.734455,100.0,0.0,0.420533,4.135284,DDoS
tcp,250950.0,2.014371,100.0,0.0,3.0,2.014371,100.0,0.0,0.140395,4.028743,DDoS
tcp,91728.0,1.323049,100.0,0.196117,1.0,2.067182,100.0,0.0,0.404212,3.007475,DDoS
udp,214160.0,1.7142810000000002,100.0,0.0,4.0,2.345179,100.0,0.0,0.449805,4.04997,DDoS
tcp,150425.0,0.457646,22.0,3.3187300000000004,1.0,3.803995,100.0,0.142544,0.406735,4.4175010000000015,DDoS
udp,241114.0,0.232355,100.0,4.0727660000000006,4.0,4.305125,100.0,0.0,0.4699890000000001,4.537484,DDoS
tcp,220583.0,1.621037,88.0,0.0,1.0,2.288971,100.0,0.154826,0.477534,3.543452,DDoS
udp,58501.0,0.632921,100.0,2.764761,4.0,3.659818,100.0,0.0,0.7291270000000001,4.113564,DDoS
tcp,176718.0,0.496591,33.0,3.3481080000000003,1.0,3.703894,100.0,0.0,0.341046,4.406159,DDoS
udp,121295.0,1.876297,100.0,0.983623,4.0,3.637012,100.0,0.0,1.005561,4.983156,DDoS
udp,105333.0,1.87213,67.0,0.990733,4.0,3.638198000000001,100.0,0.0,1.004905,4.984173,DDoS
udp,174015.0,0.644844,100.0,2.769598,4.0,3.680611,100.0,0.0,0.725444,4.171834,DDoS
tcp,221490.0,2.087469,100.0,0.0,1.0,2.087469,100.0,0.0,0.20643000000000006,4.174938,DDoS
tcp,153105.0,0.143272,100.0,0.0,1.0,0.114084,100.0,0.117867,0.13456500000000002,0.335313,DDoS
tcp,41767.0,0.0404,96.0,0.0,1.0,0.0404,100.0,0.0,0.207746,0.0808,DDoS
tcp,167277.0,0.0,57.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
tcp,112573.0,2.111682,56.0,0.0,1.0,1.303581,100.0,0.023369,0.139373,4.956578,DDoS
tcp,184532.0,1.849329,100.0,0.0,1.0,2.6134150000000003,100.0,0.0,0.333046,4.00715,DDoS
tcp,214601.0,0.07996900000000001,36.0,3.957012,1.0,4.036975,100.0,0.0,0.326961,4.116937999999998,DDoS
tcp,138222.0,0.114265,100.0,2.926648,1.0,3.063631,100.0,0.0,0.404784,3.206361,DDoS
udp,114084.0,1.953669,100.0,0.0,4.0,2.7628,100.0,0.0,0.484518,4.165067,DDoS
tcp,244854.0,2.020033,100.0,0.177563,1.0,2.197597,100.0,0.097428,0.276213,4.2176300000000015,DDoS
udp,157954.0,0.646703,100.0,2.770058,4.0,3.683725,100.0,0.0,0.724904,4.175848,DDoS
tcp,108113.0,1.901749,36.0,0.0,3.0,2.638747,100.0,0.0,0.27165900000000004,4.40838,DDoS
udp,239331.0,1.909431,100.0,0.0,4.0,2.700343,100.0,0.0,0.493166,4.051723,DDoS
udp,145741.0,0.7369140000000001,91.0,3.004836,4.0,3.94302,100.0,0.0,0.867818,4.805081,DDoS
udp,106375.0,1.368044,100.0,1.975718,4.0,3.91041,100.0,0.0,1.025061,4.88436,DDoS
udp,42764.0,0.950681,75.0,2.0427,4.0,3.387163,100.0,0.0,0.492894,4.061035,DDoS
tcp,193780.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
tcp,214804.0,0.044226,100.0,3.921521,3.0,3.965736,100.0,0.0,0.249022,4.009951999999998,DDoS
udp,146996.0,1.954641,98.0,0.0,4.0,2.764199,100.0,0.0,0.484298,4.1645900000000005,DDoS
udp,223922.0,1.941645,100.0,0.0,4.0,2.745667,100.0,0.0,0.4846720000000001,4.149584,DDoS
tcp,210593.0,1.6820849999999998,58.0,0.0,3.0,2.378571,100.0,0.0,0.29618,3.5981300000000003,DDoS
udp,255397.0,1.926753,100.0,0.0,4.0,2.724834,100.0,0.0,0.490696,4.091882,DDoS
tcp,161758.0,0.217969,100.0,3.615661,1.0,3.867012,100.0,0.0,0.31842800000000004,4.147231,DDoS
tcp,220578.0,0.0,100.0,0.311933,1.0,0.311933,100.0,0.0,3.205817,0.311933,DDoS
tcp,109718.0,1.566056,100.0,0.0,3.0,2.209447,100.0,0.0,0.305865,3.446655,DDoS
udp,82905.0,0.996981,100.0,2.848542,4.0,4.258195,100.0,0.0,0.878857,4.987735,DDoS
udp,259671.0,0.019174,100.0,4.066362000000002,4.0,4.085536,100.0,0.0,0.392292,4.10471,DDoS
tcp,46575.0,0.0,67.0,0.0,3.0,0.0,100.0,0.0,0.094671,0.0,DDoS
tcp,231193.0,1.661906,100.0,0.0,3.0,2.350284,100.0,0.0,0.299078,3.529979,DDoS
tcp,79969.0,0.128929,100.0,0.0,1.0,0.091167,100.0,0.0,0.14766700000000002,0.2735,DDoS
tcp,227841.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,DDoS
udp,119358.0,2.338948,100.0,0.0,4.0,3.307698,100.0,0.0,1.004626,4.980482,DDoS
udp,206704.0,1.739901,100.0,0.0,4.0,2.407617,100.0,0.0,0.442298,4.051218,DDoS
udp,189364.0,1.279841,100.0,1.419288,4.0,3.228846,100.0,0.0,0.7240770000000001,4.166975,DDoS
tcp,22924.0,0.008206999999999999,100.0,0.0,1.0,0.008206999999999999,100.0,0.0,0.203697,0.016415,DDoS
udp,80741.0,1.03387,100.0,2.7706470000000003,4.0,4.232484,100.0,0.0,0.951507,4.988098,DDoS
udp,151871.0,1.955256,100.0,0.0,4.0,2.765073,100.0,0.0,0.484418,4.1653720000000005,DDoS
tcp,105627.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,0.074611,0.0,DDoS
tcp,25163.0,1.128711,84.0,0.0,3.0,0.7981189999999999,100.0,0.0,0.092322,2.394357,DDoS
